gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season,player_efficiency,normalized_pts
22300062,2023-10-24,regular,1629006,Josh Okogie,PHX,GSW,PHX,32,17,7,9,0.7777777777777778,1,1,1.0,2,2,1.0,4,1,5,1,1,0,2,2,2,1,2024,22,2.891433102020231
22300062,2023-10-24,regular,1628960,Grayson Allen,PHX,GSW,PHX,21,0,0,6,0.0,0,5,0.0,0,0,,3,1,4,2,0,0,1,2,-4,1,2024,5,-1.8995514009556282
22300062,2023-10-24,regular,1630692,Jordan Goodwin,PHX,GSW,PHX,14,2,1,4,0.25,0,1,0.0,0,0,,1,3,4,3,1,0,2,0,7,1,2024,8,-0.8598222778720153
22300062,2023-10-24,regular,1626164,Devin Booker,PHX,GSW,PHX,37,32,13,21,0.6190476190476191,3,8,0.375,3,3,1.0,1,5,6,8,1,0,6,4,5,1,2024,41,0.4818841398699391
22300062,2023-10-24,regular,201569,Eric Gordon,PHX,GSW,PHX,32,10,4,16,0.25,2,9,0.2222222222222222,0,0,,1,3,4,1,1,1,1,2,6,1,2024,16,-0.14657449990622637
22300062,2023-10-24,regular,1629234,Drew Eubanks,PHX,GSW,PHX,19,4,1,3,0.3333333333333333,0,0,,2,4,0.5,2,5,7,2,0,3,3,3,-2,1,2024,13,-0.2752388824862778
22300063,2023-10-25,regular,1630552,Jalen Johnson,ATL,CHA,ATL,29,21,9,13,0.6923076923076923,1,3,0.3333333333333333,2,4,0.5,0,7,7,2,2,1,0,1,8,0,2024,33,0.827091048186383
22300063,2023-10-25,regular,1629631,De'Andre Hunter,ATL,CHA,ATL,31,9,4,9,0.4444444444444444,1,4,0.25,0,1,0.0,2,2,4,1,0,0,0,6,-13,0,2024,14,-1.0011959549811174
22300063,2023-10-25,regular,1631100,AJ Griffin,ATL,CHA,ATL,10,2,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,0,1,1,2,0,2024,3,-0.15607361839521228
22300063,2023-10-25,regular,1627749,Dejounte Murray,ATL,CHA,ATL,33,11,3,14,0.21428571428571427,0,3,0.0,5,6,0.8333333333333334,0,2,2,6,0,0,1,0,-15,0,2024,18,-1.5165919746084744
22300063,2023-10-25,regular,1630168,Onyeka Okongwu,ATL,CHA,ATL,19,7,3,5,0.6,0,0,,1,1,1.0,1,3,4,2,0,0,1,5,14,0,2024,12,-0.6446002388994121
22300063,2023-10-25,regular,1630180,Saddiq Bey,ATL,CHA,ATL,29,15,6,12,0.5,1,4,0.25,2,2,1.0,3,2,5,0,5,0,2,1,-2,0,2024,23,0.23442727764318758
22300063,2023-10-25,regular,1629027,Trae Young,ATL,CHA,ATL,36,23,4,19,0.21052631578947367,1,9,0.1111111111111111,14,15,0.9333333333333333,0,1,1,9,1,0,5,3,-11,0,2024,29,-0.30264324905414014
22300063,2023-10-25,regular,203991,Clint Capela,ATL,CHA,ATL,29,15,6,10,0.6,0,0,,3,4,0.75,6,7,13,0,1,0,2,1,-19,0,2024,27,0.8008846385477514
22300063,2023-10-25,regular,203992,Bogdan Bogdanovic,ATL,CHA,ATL,24,7,3,9,0.3333333333333333,1,5,0.2,0,0,,0,4,4,4,3,0,0,1,6,0,2024,18,-1.601125468400722
22300063,2023-10-25,regular,1629023,P.J. Washington,CHA,CHA,ATL,32,25,12,18,0.6666666666666666,1,6,0.16666666666666666,0,0,,1,4,5,2,0,0,1,4,5,1,2024,31,1.5693084831061566
22300063,2023-10-25,regular,1630550,JT Thor,CHA,CHA,ATL,20,5,2,7,0.2857142857142857,1,3,0.3333333333333333,0,0,,1,1,2,1,0,0,0,0,2,1,2024,8,0.5401602291537241
22300063,2023-10-25,regular,1641706,Brandon Miller,CHA,CHA,ATL,25,13,5,9,0.5555555555555556,3,7,0.42857142857142855,0,0,,0,3,3,2,0,0,1,3,-13,1,2024,17,-0.5897934257309295
22300063,2023-10-25,regular,1630208,Nick Richards,CHA,CHA,ATL,18,7,2,2,1.0,0,0,,3,4,0.75,1,3,4,1,0,1,2,3,-14,1,2024,11,-0.5504268796324115
22300063,2023-10-25,regular,1630163,LaMelo Ball,CHA,CHA,ATL,31,15,4,15,0.26666666666666666,4,11,0.36363636363636365,3,4,0.75,1,5,6,10,1,0,3,3,7,1,2024,29,-0.9628755385490376
22300063,2023-10-25,regular,1626179,Terry Rozier,CHA,CHA,ATL,34,24,7,16,0.4375,2,7,0.2857142857142857,8,12,0.6666666666666666,1,4,5,6,0,0,3,2,14,1,2024,32,0.522415978722927
22300063,2023-10-25,regular,1630177,Theo Maledon,CHA,CHA,ATL,16,4,2,5,0.4,0,2,0.0,0,0,,0,3,3,4,0,0,1,3,-5,1,2024,10,0.15116979324647487
22300063,2023-10-25,regular,1631109,Mark Williams,CHA,CHA,ATL,30,13,5,6,0.8333333333333334,0,0,,3,3,1.0,4,11,15,1,3,1,2,2,19,1,2024,31,0.04456378331888378
